,neighborhood,section,city,latitude,longitude,venue_id,venue_name,venue_lat,venue_lon,venue_cat_id,venue_cat_name
40,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4c1af37b63750f472039b467,Minerva Coffee Shop,17.43729470969034,78.44607353210449,4bf58dd8d48988d10f941735,Indian Restaurant
41,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4dcfed0322718eed7a5ce984,Ohri's,17.431879716982145,78.46511434297223,4bf58dd8d48988d121941735,Lounge
42,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4f09975ee4b05f830eab1be1,Viva italia,17.435747858562056,78.45663489094625,4bf58dd8d48988d1ca941735,Pizza Place
43,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4d63dac5d6b26ea8fafc537a,Santosh Dhaba,17.439442049412662,78.44825947961927,4bf58dd8d48988d1d3941735,Vegetarian / Vegan Restaurant
44,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4e2af9c8a809f1b1640a8365,Country Oven,17.435939018485147,78.45326347082846,4bf58dd8d48988d16a941735,Bakery
45,ameerpet,Central,Hyderabad,17.4375012,78.4482505,50e30b27e4b0869e6fc314cd,Oh! Calcutta.,17.431451923189055,78.45626577713341,54135bf5e4b08f3d2429dff5,Bengali Restaurant
46,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4b443250f964a52091f225e3,Hyderabad Central,17.426386412971482,78.45278616679713,4bf58dd8d48988d1fd941735,Shopping Mall
47,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4cd561f5a5b3468888748d50,Sigree,17.431451493753304,78.4561941290485,4bf58dd8d48988d10f941735,Indian Restaurant
48,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4dc6b42ee4cd169dc66b91ed,Ratnadeep Super Market,17.425265828130325,78.45720470635673,4d954b0ea243a5684a65b473,Convenience Store
49,ameerpet,Central,Hyderabad,17.4375012,78.4482505,4c1274b277cea5939612cd60,Rayalaseema Ruchulu,17.432852886801484,78.44673135238882,4bf58dd8d48988d10f941735,Indian Restaurant
50,begumpet,Central,Hyderabad,17.4440199,78.4624821,4e5b27778877c8a76dfc0f0c,Vivanta by Taj,17.44349840742226,78.4605560466047,4bf58dd8d48988d1fa931735,Hotel
51,begumpet,Central,Hyderabad,17.4440199,78.4624821,4bac7d4df964a5205df73ae3,10 Downing Street,17.43586817493973,78.45744348829194,4bf58dd8d48988d11b941735,Pub
52,begumpet,Central,Hyderabad,17.4440199,78.4624821,561a1a5e498e9e35fe86f428,Paradise Restaurant,17.444502885324784,78.46242814829847,54135bf5e4b08f3d2429dfe6,Hyderabadi Restaurant
53,begumpet,Central,Hyderabad,17.4440199,78.4624821,5050c114e4b0694f643d178e,Mekong,17.437151274600346,78.45430121130967,4bf58dd8d48988d145941735,Chinese Restaurant
54,begumpet,Central,Hyderabad,17.4440199,78.4624821,4c543cc0728920a13abe6a82,Kebabs & Kurries,17.432374144194686,78.4575851947717,4bf58dd8d48988d10f941735,Indian Restaurant
55,begumpet,Central,Hyderabad,17.4440199,78.4624821,4e1b27cbd22ddd4af9ea6366,ITC Kakatiya,17.432514031982514,78.45735255628313,4bf58dd8d48988d1fa931735,Hotel
56,begumpet,Central,Hyderabad,17.4440199,78.4624821,50680a79e4b0bf441accda40,Thai Pavilion,17.443167,78.460734,4bf58dd8d48988d149941735,Thai Restaurant
57,begumpet,Central,Hyderabad,17.4440199,78.4624821,4e20590c22717a5245bf075c,Needs Fast Food Joint,17.4357208652736,78.46141381604278,4bf58dd8d48988d10f941735,Indian Restaurant
58,begumpet,Central,Hyderabad,17.4440199,78.4624821,4b4abc98f964a520ba8d26e3,Shoppers Stop,17.445164486876322,78.46579326689628,4bf58dd8d48988d103951735,Clothing Store
59,begumpet,Central,Hyderabad,17.4440199,78.4624821,5025e6b7e4b08ea913645d35,Deccan Pavilion,17.432347146494337,78.45741344776343,4bf58dd8d48988d10f941735,Indian Restaurant
60,begumpet,Central,Hyderabad,17.4440199,78.4624821,4d665bf56d86224b0cd39181,Club 8,17.436323072073716,78.45708038869628,4bf58dd8d48988d116941735,Bar
61,begumpet,Central,Hyderabad,17.4440199,78.4624821,4e7c2febb803b97a5cca6961,Marigold,17.437115814454355,78.45450571069824,4bf58dd8d48988d1fa931735,Hotel
62,begumpet,Central,Hyderabad,17.4440199,78.4624821,4d8f3b12788c548183584afd,Minerva Coffee Shop,17.42883909717371,78.45557250567258,4bf58dd8d48988d10f941735,Indian Restaurant
63,begumpet,Central,Hyderabad,17.4440199,78.4624821,4ce690beb9975481a0faf044,Chutneys,17.44338406705275,78.47993858826702,4bf58dd8d48988d10f941735,Indian Restaurant
64,begumpet,Central,Hyderabad,17.4440199,78.4624821,4b63a8cef964a520588a2ae3,Lifestyle,17.43635628392111,78.4565290800641,4bf58dd8d48988d103951735,Clothing Store
65,begumpet,Central,Hyderabad,17.4440199,78.4624821,4b6d8f16f964a5208e7c2ce3,Hotel Green Park,17.436275900964134,78.45389208356634,4bf58dd8d48988d1fa931735,Hotel
66,begumpet,Central,Hyderabad,17.4440199,78.4624821,4e9aec416da1cbe0b8861f7a,Bottles N Chimney,17.444152341492636,78.46924101863351,4bf58dd8d48988d119941735,Hookah Bar
67,begumpet,Central,Hyderabad,17.4440199,78.4624821,4eec4f8e77c82b92f6b1772c,Ohris de thali,17.435726413930542,78.4576451610357,4bf58dd8d48988d1d3941735,Vegetarian / Vegan Restaurant
68,begumpet,Central,Hyderabad,17.4440199,78.4624821,4dcfed0322718eed7a5ce984,Ohri's,17.431879716982145,78.46511434297223,4bf58dd8d48988d121941735,Lounge
69,begumpet,Central,Hyderabad,17.4440199,78.4624821,4da2b173d686b60ceffbbd28,Bowl O China,17.443413672742196,78.47756269059296,4bf58dd8d48988d145941735,Chinese Restaurant
70,begumpet,Central,Hyderabad,17.4440199,78.4624821,4f257f7ce4b0ed33997a37a2,Jalpaan,17.430403204135402,78.45617501760782,4bf58dd8d48988d1d3941735,Vegetarian / Vegan Restaurant
71,begumpet,Central,Hyderabad,17.4440199,78.4624821,4c091b05340720a1e4258493,1857,17.431875475836456,78.46508235101955,4bf58dd8d48988d11e941735,Cocktail Bar
72,begumpet,Central,Hyderabad,17.4440199,78.4624821,4bd2ecb8462cb7136d24dd07,Subway,17.443410234939737,78.47892121300606,4bf58dd8d48988d1c5941735,Sandwich Place
73,begumpet,Central,Hyderabad,17.4440199,78.4624821,4f09975ee4b05f830eab1be1,Viva italia,17.435747858562056,78.45663489094625,4bf58dd8d48988d1ca941735,Pizza Place
74,begumpet,Central,Hyderabad,17.4440199,78.4624821,4cbdc1747148f04de6cdeeab,Mainland China,17.431588393827298,78.45626994043373,4bf58dd8d48988d145941735,Chinese Restaurant
75,begumpet,Central,Hyderabad,17.4440199,78.4624821,4e493212c65bd6ffbeb4a679,Westside,17.42999645708228,78.45624773628133,4bf58dd8d48988d103951735,Clothing Store
76,begumpet,Central,Hyderabad,17.4440199,78.4624821,4c0745492e80a5939d7275f9,Blue Fox,17.437054394233186,78.44591210514756,4bf58dd8d48988d10f941735,Indian Restaurant
77,begumpet,Central,Hyderabad,17.4440199,78.4624821,548d955d498e1d4b397b958c,cream stone,17.443427778938997,78.48013377074997,4bf58dd8d48988d1c9941735,Ice Cream Shop
78,begumpet,Central,Hyderabad,17.4440199,78.4624821,50e30b27e4b0869e6fc314cd,Oh! Calcutta.,17.431451923189055,78.45626577713341,54135bf5e4b08f3d2429dff5,Bengali Restaurant
79,begumpet,Central,Hyderabad,17.4440199,78.4624821,4e72f989d16472c036f49b57,Expresso,17.440644995242533,78.4796704341001,4bf58dd8d48988d16d941735,Café
80,begumpet,Central,Hyderabad,17.4440199,78.4624821,4cd561f5a5b3468888748d50,Sigree,17.431451493753304,78.4561941290485,4bf58dd8d48988d10f941735,Indian Restaurant
81,begumpet,Central,Hyderabad,17.4440199,78.4624821,4dea37c945dd3993a884de20,Cafe Coffee Day,17.436120000064342,78.45703931511622,4bf58dd8d48988d16d941735,Café
82,begumpet,Central,Hyderabad,17.4440199,78.4624821,4fa7f88ee4b047f0ee0cd27f,Ohris Jiva Imperia,17.43564773741736,78.45764358790227,4bf58dd8d48988d1d3941735,Vegetarian / Vegan Restaurant
83,begumpet,Central,Hyderabad,17.4440199,78.4624821,4bb0af68f964a520cd543ce3,Tibbs Frankies,17.436067883038188,78.45652349188089,4bf58dd8d48988d1c5941735,Sandwich Place
84,begumpet,Central,Hyderabad,17.4440199,78.4624821,4d57c15436d1721eb8b0eeb1,Deli 9 Begumpet,17.436117736113555,78.4567362265203,4bf58dd8d48988d146941735,Deli / Bodega
85,begumpet,Central,Hyderabad,17.4440199,78.4624821,4bd9cc9daae4ef3b6ec26ec6,Domino's Pizza,17.42836508503679,78.4562901748176,4bf58dd8d48988d1ca941735,Pizza Place
86,begumpet,Central,Hyderabad,17.4440199,78.4624821,4e2af9c8a809f1b1640a8365,Country Oven,17.435939018485147,78.45326347082846,4bf58dd8d48988d16a941735,Bakery
87,begumpet,Central,Hyderabad,17.4440199,78.4624821,4cc5b31d91413704b30bcb55,Home Centre By Lifestyle,17.42922872295701,78.45590114593506,4bf58dd8d48988d1f8941735,Furniture / Home Store
88,begumpet,Central,Hyderabad,17.4440199,78.4624821,4c673646255e952102b8dbd8,Cafe Coffee Day,17.443323540369274,78.4803022550151,4bf58dd8d48988d1e0931735,Coffee Shop
89,begumpet,Central,Hyderabad,17.4440199,78.4624821,51a9b0f3498ed257cde8bfe4,Domino's Pizza,17.4418192525152,78.44616470262514,4bf58dd8d48988d1ca941735,Pizza Place
